Frage,Antwort,Kategorie
Wie tief fiel der Kurs an diesem Tag?,280.73333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,73038600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,284.89666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,292.6933288574219,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,284.35333251953125,Tiefstkurs
Wie hoch war das Handelsvolumen?,55030500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,283.3299865722656,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,285.5,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,277.8066711425781,Tiefstkurs
Wie hoch war das Handelsvolumen?,47438100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,284.07666015625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,288.25665283203125,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,279.65667724609375,Tiefstkurs
Wie hoch war das Handelsvolumen?,55699800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,287.8066711425781,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,292.5899963378906,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,284.9166564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,60485100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,283.1533203125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,286.6000061035156,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,280.5833435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,45473100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,268.2733459472656,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,281.6066589355469,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,266.67333984375,Tiefstkurs
Wie hoch war das Handelsvolumen?,108648300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,270.5533447265625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,276.6266784667969,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,267.24334716796875,Tiefstkurs
Wie hoch war das Handelsvolumen?,64868400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,272.0400085449219,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,272.4433288574219,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,261.77667236328125,Tiefstkurs
Wie hoch war das Handelsvolumen?,71304900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,265.40667724609375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,273.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,264.14666748046875,Tiefstkurs
Wie hoch war das Handelsvolumen?,59406900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,266.04998779296875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,266.61334228515625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,254.00332641601562,Tiefstkurs
Wie hoch war das Handelsvolumen?,77989500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,262.4599914550781,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,264.89666748046875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,258.75665283203125,Tiefstkurs
Wie hoch war das Handelsvolumen?,53871300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,260.4333190917969,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,265.5966796875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,259.1233215332031,Tiefstkurs
Wie hoch war das Handelsvolumen?,56874900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,238.1666717529297,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,256.1666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,236.73333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,111809100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,232.94667053222656,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,237.8699951171875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,206.3333282470703,Tiefstkurs
Wie hoch war das Handelsvolumen?,199820700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,247.33999633789062,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,248.3333282470703,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,231.38999938964844,Tiefstkurs
Wie hoch war das Handelsvolumen?,110301000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,227.4066619873047,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,245.73666381835938,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,223.52667236328125,Tiefstkurs
Wie hoch war das Handelsvolumen?,117071700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,225.1666717529297,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,235.56666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,219.836669921875,Tiefstkurs
Wie hoch war das Handelsvolumen?,123267600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,239.47666931152344,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,239.6666717529297,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,228.35000610351562,Tiefstkurs
Wie hoch war das Handelsvolumen?,81408600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,228.81333923339844,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,240.3699951171875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,228.3333282470703,Tiefstkurs
Wie hoch war das Handelsvolumen?,71196600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,217.73333740234375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,233.56666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,217.23666381835938,Tiefstkurs
Wie hoch war das Handelsvolumen?,90624000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,207.14666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,222.81666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,200.0,Tiefstkurs
Wie hoch war das Handelsvolumen?,197758500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,199.31666564941406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,209.27999877929688,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,179.8300018310547,Tiefstkurs
Wie hoch war das Handelsvolumen?,268189500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,187.6666717529297,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,206.7100067138672,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,186.26333618164062,Tiefstkurs
Wie hoch war das Handelsvolumen?,155361000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,224.52667236328125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,226.02999877929688,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,198.40333557128906,Tiefstkurs
Wie hoch war das Handelsvolumen?,202569900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,222.68666076660156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,239.28334045410156,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,218.35333251953125,Tiefstkurs
Wie hoch war das Handelsvolumen?,181817100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,233.1999969482422,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,234.1666717529297,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,225.72666931152344,Tiefstkurs
Wie hoch war das Handelsvolumen?,108761700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,231.2433319091797,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,231.6266632080078,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,222.04666137695312,Tiefstkurs
Wie hoch war das Handelsvolumen?,100751400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,235.97999572753906,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,237.72666931152344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,228.01333618164062,Tiefstkurs
Wie hoch war das Handelsvolumen?,88006800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,225.6266632080078,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,235.97332763671875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,223.6666717529297,Tiefstkurs
Wie hoch war das Handelsvolumen?,96587100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,233.93666076660156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,234.57666015625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,217.00332641601562,Tiefstkurs
Wie hoch war das Handelsvolumen?,121117500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,217.72000122070312,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,229.7433319091797,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,217.3333282470703,Tiefstkurs
Wie hoch war das Handelsvolumen?,99674400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,218.2899932861328,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,219.07666015625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,208.2066650390625,Tiefstkurs
Wie hoch war das Handelsvolumen?,128682000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,223.3333282470703,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,233.2066650390625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,222.9166717529297,Tiefstkurs
Wie hoch war das Handelsvolumen?,118536600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,220.72000122070312,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,225.93333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,219.1699981689453,Tiefstkurs
Wie hoch war das Handelsvolumen?,91475700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,210.08999633789062,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,222.67333984375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,210.0366668701172,Tiefstkurs
Wie hoch war das Handelsvolumen?,101385600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,213.4633331298828,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,215.1666717529297,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,203.1666717529297,Tiefstkurs
Wie hoch war das Handelsvolumen?,117674700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,206.23666381835938,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,214.60667419433594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,199.9633331298828,Tiefstkurs
Wie hoch war das Handelsvolumen?,101558400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,203.76333618164062,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,205.4933319091797,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,198.67333984375,Tiefstkurs
Wie hoch war das Handelsvolumen?,85911000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,211.8733367919922,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,212.55332946777344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,197.00332641601562,Tiefstkurs
Wie hoch war das Handelsvolumen?,118297200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,222.64332580566406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,224.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,213.70333862304688,Tiefstkurs
Wie hoch war das Handelsvolumen?,100011900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,220.5833282470703,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,230.80667114257812,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,219.80667114257812,Tiefstkurs
Wie hoch war das Handelsvolumen?,105895200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,230.35000610351562,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,236.05332946777344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,228.23333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,125528400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,230.5399932861328,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,232.18333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,227.1233367919922,Tiefstkurs
Wie hoch war das Handelsvolumen?,84815400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,223.6566619873047,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,230.4600067138672,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,222.6133270263672,Tiefstkurs
Wie hoch war das Handelsvolumen?,78928200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,227.93333435058594,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,229.85000610351562,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,223.88333129882812,Tiefstkurs
Wie hoch war das Handelsvolumen?,71772900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,225.67333984375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,226.99000549316406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,223.14332580566406,Tiefstkurs
Wie hoch war das Handelsvolumen?,64311300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,233.9933319091797,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,234.93333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,227.3633270263672,Tiefstkurs
Wie hoch war das Handelsvolumen?,87407100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,254.10667419433594,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,254.3333282470703,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,236.8866729736328,Tiefstkurs
Wie hoch war das Handelsvolumen?,133958400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,244.07666015625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,260.2633361816406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,242.67666625976562,Tiefstkurs
Wie hoch war das Handelsvolumen?,147052200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,246.28334045410156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,247.89666748046875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,240.43666076660156,Tiefstkurs
Wie hoch war das Handelsvolumen?,83546700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,246.5933380126953,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,249.80332946777344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,241.53334045410156,Tiefstkurs
Wie hoch war das Handelsvolumen?,83938500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,238.2100067138672,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,241.8000030517578,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,230.60000610351562,Tiefstkurs
Wie hoch war das Handelsvolumen?,119058600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,239.663330078125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,245.75,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,236.89666748046875,Tiefstkurs
Wie hoch war das Handelsvolumen?,106827000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,248.0399932861328,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,248.27999877929688,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,232.6666717529297,Tiefstkurs
Wie hoch war das Handelsvolumen?,93646500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,239.89666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,251.2566680908203,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,239.34666442871094,Tiefstkurs
Wie hoch war das Handelsvolumen?,106770900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,243.13333129882812,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,245.7866668701172,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,238.48666381835938,Tiefstkurs
Wie hoch war das Handelsvolumen?,85110000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,246.06666564941406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,249.76666259765625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,244.20333862304688,Tiefstkurs
Wie hoch war das Handelsvolumen?,93115500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,234.913330078125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,241.3333282470703,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,234.4499969482422,Tiefstkurs
Wie hoch war das Handelsvolumen?,88311000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,231.46665954589844,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,236.1666717529297,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,231.1999969482422,Tiefstkurs
Wie hoch war das Handelsvolumen?,66813000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,225.6666717529297,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,234.0833282470703,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,222.8333282470703,Tiefstkurs
Wie hoch war das Handelsvolumen?,86536200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,236.47999572753906,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,238.49000549316406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,222.04666137695312,Tiefstkurs
Wie hoch war das Handelsvolumen?,122276100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,228.3000030517578,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,235.3333282470703,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,226.8333282470703,Tiefstkurs
Wie hoch war das Handelsvolumen?,81129300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,224.53334045410156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,227.81666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,219.23333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,89217900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,223.64666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,228.43333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,222.44667053222656,Tiefstkurs
Wie hoch war das Handelsvolumen?,65705700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,221.17999267578125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,227.0066680908203,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,216.6666717529297,Tiefstkurs
Wie hoch war das Handelsvolumen?,83353800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,224.1233367919922,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,230.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,220.07333374023438,Tiefstkurs
Wie hoch war das Handelsvolumen?,70407600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,209.67999267578125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,221.68333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,209.20333862304688,Tiefstkurs
Wie hoch war das Handelsvolumen?,94177200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,205.73333740234375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,209.03334045410156,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,198.53334045410156,Tiefstkurs
Wie hoch war das Handelsvolumen?,139511700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,196.6300048828125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,206.80332946777344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,195.58999633789062,Tiefstkurs
Wie hoch war das Handelsvolumen?,101470800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,190.56333923339844,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,202.15333557128906,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,186.5500030517578,Tiefstkurs
Wie hoch war das Handelsvolumen?,132554700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,196.5800018310547,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,197.6233367919922,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,190.15333557128906,Tiefstkurs
Wie hoch war das Handelsvolumen?,100112700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,192.27667236328125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,196.57666015625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,187.06666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,97171200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,192.6233367919922,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,198.75,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,187.7933349609375,Tiefstkurs
Wie hoch war das Handelsvolumen?,110491800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,187.82000732421875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,188.73666381835938,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,182.32666015625,Tiefstkurs
Wie hoch war das Handelsvolumen?,118735200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,195.5933380126953,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,196.28334045410156,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,190.35667419433594,Tiefstkurs
Wie hoch war das Handelsvolumen?,92463300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,193.6266632080078,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,198.89332580566406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,193.3333282470703,Tiefstkurs
Wie hoch war das Handelsvolumen?,78091800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,202.14666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,204.82666015625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,191.21665954589844,Tiefstkurs
Wie hoch war das Handelsvolumen?,103674300.0,Handelsvolumen
